pmt_term,home_type,revolving_balance,total_inquires,total_account,grade,subgrade,debt_income_ratio,total_delinquency,application_type,loan_status
58,0,5484,0,8,4,19,22.04569106,0,0,0
59,1,5499,0,18,5,28,24.9991461,0,0,0
59,0,4821,0,23,6,23,28.99629225,0,0,0
59,1,450,0,20,6,9,19.13757215,0,0,0
36,1,0,1,19,6,28,18.97,0,0,0
59,1,669,1,11,7,28,31.1340466,0,0,0
59,0,4598,0,13,3,23,18.63100628,0,0,0
59,0,13595,0,8,5,27,5.451593062,0,0,0
58,0,15140,0,19,4,22,17.02431448,0,0,0
59,0,2651,0,14,5,23,22.15015717,1,0,0
58,1,838,2,18,6,29,14.5876857,0,0,0
59,1,10934,0,18,6,24,11.3584681,0,0,0
60,1,30658,0,25,5,24,12.55,0,0,0
58,1,5060,0,39,7,18,22.02935723,1,0,0
59,1,6674,0,16,4,25,30.14172761,0,0,0
59,1,852,0,34,4,16,28.34464225,2,0,0
59,0,1355,0,8,5,28,19.25057326,0,0,0
58,2,19414,1,10,6,26,18.78889178,0,0,0
58,1,5431,0,14,3,6,24.16538869,2,0,0
59,1,693,0,15,6,22,31.71071414,0,0,0
59,0,6871,0,20,6,30,25.5436398,0,0,0
60,0,19422,2,29,3,15,27.46,1,0,0
59,0,8432,0,21,6,27,31.94289669,0,0,0
60,0,6573,0,30,4,18,8.98,2,0,0
59,0,5419,0,19,6,20,12.06822597,0,0,0
59,1,384,0,17,5,5,38.54275785,0,0,0
59,0,8059,0,12,7,33,14.88430931,0,0,0
59,1,438,0,14,5,15,15.73236621,0,0,0
36,1,41837,1,38,5,25,29.94,2,0,0
59,1,6572,0,12,5,30,26.74614578,1,0,0
59,1,12727,0,15,6,35,10.27235464,0,0,0
59,1,2102,0,5,5,28,30.08241663,0,0,0
59,0,9203,0,10,5,16,33.55347569,0,0,0
59,1,6066,0,11,6,28,35.11339807,0,0,0
59,1,27805,1,13,3,26,35.90373825,0,0,0
58,0,6790,0,14,4,25,27.64600918,0,0,0
58,0,8880,0,18,5,31,11.6121277,0,0,0
59,1,610,0,21,5,35,21.55878362,0,0,0
58,0,9936,0,17,5,27,17.60316172,0,0,0
58,0,3705,0,15,3,35,9.548783907,0,0,0
36,0,21135,2,36,6,26,31.48,0,0,0
60,2,22775,0,22,5,25,16.01,0,0,0
59,0,4695,0,22,3,24,14.23895311,1,0,0
58,0,2367,0,21,5,30,25.59276686,0,0,0
59,1,176,0,17,3,27,25.63085427,2,0,0
58,1,2298,0,18,7,17,29.63740598,0,0,0
36,0,26694,1,5,6,26,14.02,0,0,0
58,0,1979,0,32,5,27,18.70881767,1,0,0
59,0,10053,2,19,2,24,14.21178487,0,0,0
58,2,16788,0,20,1,8,36.92288249,0,0,0
59,1,3741,0,19,5,21,32.80206471,0,0,0
59,0,18995,0,27,4,17,36.76720887,0,0,0
58,1,13718,0,27,7,27,20.47524204,3,0,0
58,2,6931,0,10,7,20,14.37106454,0,0,0
36,0,3001,1,24,5,24,28.8,0,0,0
59,1,16254,2,16,5,24,35.12835387,0,0,0
59,0,25698,0,22,5,28,19.3648821,0,0,0
59,0,827,0,16,5,26,28.35533426,0,0,0
59,0,1013,0,23,6,21,11.85482687,0,0,0
59,0,1838,0,7,5,30,14.06299268,1,0,0
58,1,6384,0,13,7,32,14.15361853,0,0,0
59,1,1142,1,24,5,18,10.55556117,0,0,0
58,1,1916,0,23,3,10,36.30551647,2,0,0
36,0,7843,0,13,3,15,31.57,0,0,0
59,0,4452,0,11,3,25,16.83461166,0,0,0
36,2,22831,0,10,5,24,24.1,0,0,0
59,1,3256,1,19,4,35,11.15589169,0,0,0
58,1,1332,0,23,3,20,8.045084704,0,0,0
60,0,38662,0,19,5,23,14.06,0,0,0
36,1,14239,1,31,4,20,20.03,1,0,0
59,2,1416,0,17,6,16,15.93757786,0,0,0
58,0,2617,0,24,5,17,25.13011636,0,0,0
58,0,389,0,15,5,20,17.50175351,1,0,0
58,2,1758,0,19,5,17,22.3056322,0,0,0
59,1,5916,0,28,7,31,19.21838624,0,0,0
59,0,5125,0,23,5,16,24.09797988,0,0,0
58,1,3,0,9,7,29,15.33796335,0,0,0
36,1,31016,0,16,5,24,17.37,0,0,0
58,0,15285,0,20,5,31,29.89615182,0,0,0
59,1,9193,0,13,7,31,12.82477933,0,0,0
59,1,7400,0,15,7,20,31.05755028,1,0,0
59,1,9440,1,18,5,17,29.40548423,0,0,0
59,1,8752,0,15,4,23,9.152216449,0,0,0
59,1,4597,0,35,5,23,24.48769921,0,0,0
59,0,7054,3,22,5,15,38.20727102,0,0,0
58,1,3891,0,14,6,28,30.93790411,0,0,0
58,2,9116,0,16,2,14,21.09675146,0,0,0
59,1,3082,0,6,6,28,20.9001531,0,0,0
36,0,1543,0,40,4,19,18.74,3,0,0
59,1,969,0,15,6,20,38.89925104,0,0,0
59,1,551,0,19,3,26,33.07623937,2,0,0
59,1,245,0,20,6,20,19.53080174,1,0,0
36,2,7846,0,10,4,6,38.45722914,0,0,0
58,2,2145,0,21,4,24,33.43301092,1,0,0
59,0,757,0,24,3,1,17.25738548,0,0,0
58,1,2255,0,13,6,24,25.88805821,0,0,0
58,1,13328,0,12,3,22,24.46454463,0,0,0
59,0,17095,0,7,5,24,18.37030236,1,0,0
58,0,5597,0,24,5,31,19.31277376,0,0,0
58,1,18413,0,19,5,32,13.12069001,0,0,0
36,0,5447,0,20,5,21,28.24,1,0,0
59,0,4315,0,23,6,25,26.72902682,2,0,0
36,1,31331,1,38,7,33,16.47,0,0,0
59,1,1333,0,20,6,10,24.77787243,1,0,0
58,0,7824,0,32,6,24,23.52417645,0,0,0
58,0,7867,0,12,6,26,9.439950672,0,0,0
59,1,6046,0,20,6,24,16.05805621,0,0,0
58,0,16191,0,14,5,20,29.71615708,0,0,0
58,0,9257,0,34,7,31,16.81352714,0,0,0
58,0,4223,0,11,2,29,8.482701815,2,0,0
59,1,6853,0,20,6,31,14.18990227,0,0,0
58,1,8979,0,15,3,13,6.688809208,2,0,0
58,1,1661,0,16,7,29,12.10565482,0,0,0
59,1,866,0,16,6,24,27.22202149,0,0,0
59,0,16239,0,5,5,24,16.55900299,0,0,0
58,0,2424,0,26,3,26,16.26895203,0,0,0
59,0,8781,1,14,5,12,26.40054819,0,0,0
58,1,195,0,30,7,31,22.238171,0,0,0
59,2,22230,0,19,7,30,21.46918174,0,0,0
59,1,2922,0,16,5,34,34.96857837,0,0,0
59,0,2388,0,18,7,23,35.88915113,0,0,0
59,0,14577,0,33,4,24,13.68543429,0,0,0
59,0,14755,0,6,5,19,16.31241217,0,0,0
58,0,10720,0,33,6,31,34.15801429,0,0,0
59,2,6792,0,25,5,20,23.67081572,0,0,0
59,1,4455,0,17,6,15,22.45970638,1,0,0
59,0,13438,0,19,6,17,13.9170693,0,0,0
59,0,28568,0,6,7,2,21.48697384,0,0,0
59,2,3281,0,6,7,13,28.61326203,0,0,0
59,1,1847,3,25,7,28,30.31191484,0,0,0
59,0,248,0,10,5,21,22.89679985,0,0,0
59,1,3279,0,15,5,14,21.68395097,1,0,0
59,1,14313,0,32,6,34,15.31196022,0,0,0
59,0,3557,1,17,7,19,36.25598526,0,0,0
59,0,2542,0,7,7,26,37.11565306,0,0,0
59,0,2206,0,8,4,23,18.13271472,1,0,0
58,1,11132,0,17,5,20,25.65874175,2,0,0
60,1,739,1,18,6,8,32.93000024,0,0,0
59,0,1009,0,13,7,13,24.71225519,0,0,0
59,1,11998,1,5,5,18,16.27278144,2,0,0
59,2,6866,0,23,6,34,16.13012443,2,0,0
58,0,9585,0,17,6,28,11.9779365,1,0,0
59,1,12969,0,18,6,18,30.45287583,0,0,0
58,2,1715,0,21,6,27,9.936074885,0,0,0
59,2,12801,0,11,6,27,10.81595637,0,0,0
58,2,2061,0,21,7,26,38.43059993,0,0,0
59,0,10882,0,13,5,27,34.12815039,0,0,0
59,1,4702,0,8,3,22,13.35508361,0,0,0
59,1,3333,0,16,6,28,16.46883935,1,0,0
36,0,6336,0,18,5,21,6.23,0,0,0
59,2,24187,0,16,6,31,6.399320697,0,0,0
58,0,3158,0,18,5,19,21.97832862,0,0,0
58,1,2578,1,25,5,29,19.60954275,0,0,0
58,1,10526,0,18,7,29,36.4875382,0,0,0
58,1,66,0,17,5,18,26.63195932,1,0,0
58,1,33864,0,17,5,31,35.29906489,1,0,0
36,1,1379,0,13,5,20,18.0406686,0,0,0
59,1,2947,0,6,6,22,9.338079634,0,0,0
59,0,14579,0,15,7,24,16.98791488,0,0,0
58,2,15516,0,24,7,9,20.56292913,0,0,0
58,1,2242,0,10,5,21,20.84531651,0,0,0
58,0,14835,0,10,5,34,13.15564251,0,0,0
59,0,17397,0,14,6,27,7.799422396,0,0,0
59,1,9440,0,20,3,30,15.59885235,0,0,0
59,1,10337,0,20,7,29,20.05911026,0,0,0
36,1,11632,0,48,6,28,18.37,1,0,0
58,1,325,0,18,6,17,36.3286776,0,0,0
60,1,3009,0,18,6,21,25.10102174,0,0,0
59,0,3540,1,27,6,24,27.32875662,0,0,0
36,1,2599,0,38,5,25,15.53,0,0,0
59,0,7183,0,23,7,29,15.9449502,0,0,0
59,1,2247,0,12,7,28,31.06177776,0,0,0
59,1,8355,0,17,7,27,27.15328708,0,0,0
58,0,4587,0,16,5,30,11.3761979,0,0,0
60,0,15136,0,23,5,22,30.81,0,0,0
59,1,14669,0,24,3,20,25.84400224,1,0,0
60,1,19017,0,29,6,30,21.25,0,0,0
59,0,7797,0,16,6,33,24.51061398,0,0,0
36,0,12595,0,18,6,28,8.91,0,0,0
58,1,23830,2,19,5,29,18.64693873,1,0,0
59,1,4604,0,10,4,2,30.703144,0,0,0
59,1,10801,0,8,7,16,38.14833641,0,0,0
60,0,19555,0,28,4,16,32.61,0,0,0
59,1,13827,0,15,4,17,26.19987901,2,0,0
59,1,10927,0,24,6,20,17.45725594,1,0,0
59,0,2441,1,10,3,20,20.82404639,0,0,0
59,0,11978,0,21,5,9,27.42131852,0,0,0
58,1,23135,0,12,5,23,26.51481833,0,0,0
59,2,6147,0,22,7,16,22.99513082,0,0,0
58,1,6572,0,33,3,28,31.36108848,1,0,0
59,1,10019,0,14,5,20,22.09199558,0,0,0
58,1,6084,0,22,6,31,11.42476165,0,0,0
59,1,24333,0,31,6,18,34.61574475,0,0,0
59,0,1491,0,17,6,30,38.96647047,0,0,0
58,1,2340,0,23,3,27,19.00089675,0,0,0
58,2,1390,0,15,5,31,17.10064118,0,0,0
58,1,8923,0,25,7,28,17.23255379,1,0,0
59,1,2218,0,25,6,28,15.73830122,2,0,0
59,1,10266,0,17,6,35,38.72190622,0,0,0
36,2,7455,3,44,5,21,14.16,0,0,0
58,0,5475,0,12,5,34,13.08537237,0,0,0
58,0,6118,1,22,5,29,16.63620719,0,0,0
58,1,11231,0,26,5,26,35.25363705,0,0,0
58,2,11134,0,25,4,31,23.61760735,0,0,0
59,0,211,0,18,5,31,17.76517151,0,0,0
59,0,16015,0,6,7,18,26.42765464,0,0,0
59,1,4026,0,5,4,15,16.23763125,0,0,0
60,0,11901,0,37,4,20,17.72,0,0,0
59,1,3181,0,26,6,30,23.4123436,0,0,0
36,1,3535,0,19,7,18,30.91552695,0,0,0
36,1,18187,4,32,5,21,18.39,4,0,0
59,1,1117,0,21,6,23,27.70604899,1,0,0
36,1,6119,0,56,5,23,31.35,0,0,0
58,1,2179,0,46,6,12,18.24416224,0,0,0
58,1,1317,0,6,2,26,32.77715226,0,0,0
59,1,5486,0,10,5,18,9.176192295,3,0,0
59,0,314,0,18,6,28,24.81313525,0,0,0
59,2,32661,0,6,4,34,24.59236248,0,0,0
59,1,17893,0,17,7,27,27.22790194,1,0,0
60,0,11992,0,16,3,13,32.55,1,0,0
59,0,13209,0,22,6,30,36.94152814,0,0,0
59,0,10297,0,30,7,31,39.00340262,0,0,0
59,1,742,0,18,5,34,26.63577951,1,0,0
59,1,22400,1,11,6,32,16.47156067,0,0,0
59,0,5518,0,21,7,18,36.48445172,0,0,0
59,1,171,1,20,4,27,20.57944394,0,0,0
59,1,5063,0,5,3,25,15.03580416,0,0,0
59,1,2190,2,18,5,35,33.36502336,0,0,0
36,0,8442,0,53,5,25,26.7,8,0,0
59,1,22001,1,25,3,22,20.24622235,0,0,0
59,0,27892,0,29,2,34,10.16866524,0,0,0
59,1,2242,2,14,6,20,24.4120271,0,0,0
36,1,7553,0,17,6,27,20.29,0,0,0
59,0,4977,0,6,3,31,13.02967731,0,0,0
59,1,7107,0,8,4,2,31.64771878,2,0,0
59,0,1635,0,14,3,15,16.79645668,0,0,0
59,0,9434,0,22,6,30,28.2519259,0,0,0
60,1,28428,1,25,4,17,8.28,0,0,0
60,1,25704,4,44,4,17,12.89,0,0,0
59,2,1687,0,6,6,22,27.98093982,1,0,0
59,1,11596,0,4,6,27,17.70742711,1,0,0
60,0,11947,0,27,5,25,27.58,2,0,0
59,1,2536,0,7,5,30,29.70834924,0,0,0
58,2,7291,0,5,4,7,16.27372457,0,0,0
59,1,19908,0,21,7,20,36.59314212,2,0,0
59,1,3809,0,13,6,23,34.37653974,0,0,0
59,1,15879,0,8,5,26,8.996884918,0,0,0
